job_id,run_date_utc,phase,provider,model_or_endpoint,task_id,status,quantity,unit,credits,credit_unit_cost_usd,estimated_cost_usd,confidence,pricing_basis,notes
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,proof_generation,Google Vertex/Gemini,gemini-3-pro-image,input-image,SUCCEEDED,1,image,0,,0.0011,estimated,"Google Gemini 3 Pro Image input price: $2.00 per 1M text/image tokens, equivalent to $0.0011 per image","Source image was uploads/.../source.jpg, 1080x1080 JPEG, 96517 bytes. Exact provider token usage is not stored on the job."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,proof_generation,Google Vertex/Gemini,gemini-3-pro-image,output-image,SUCCEEDED,1,1024x1024 image,0,,0.1340,estimated,"Google Gemini 3 Pro Image output image price: $120.00 per 1M image tokens, equivalent to $0.134 per 1K/2K image","Generated proof was generated/.../preview.png, 1024x1024 PNG, 941482 bytes."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,proof_generation,Google Vertex/Gemini,gemini-3-pro-image,text-prompt-and-response,SUCCEEDED,1,estimated text call,0,,0.0050,estimated,"Google Gemini 3 Pro Image text input/output pricing follows Gemini 3.1 Pro text rates: $2.00 per 1M input tokens and $12.00 per 1M text/thinking output tokens","Approximation for prompt text, system-visible response text, and possible thinking tokens; replace with billing export when available."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,figurine_generation,Meshy,Creative Lab Figure Prototype,019ed589-8949-7e13-879f-265099b71412,SUCCEEDED,1,task,6,0.0200,0.1200,actual_credits_estimated_usd,"Meshy API pricing: Creative Lab Figure Prototype costs 6 credits. USD estimate uses Pro-plan public reference of $20 for 1000 credits.","Credits are exact from stored Meshy task metadata; USD per credit may differ for API top-ups or future contracts."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,figurine_generation,Meshy,Creative Lab Figure Build,019ed58a-85b2-74da-8c68-22b2b5734924,SUCCEEDED,1,task,30,0.0200,0.6000,actual_credits_estimated_usd,"Meshy API pricing: Creative Lab Figure Build costs 30 credits. USD estimate uses Pro-plan public reference of $20 for 1000 credits.","Stored provider output included GLB/OBJ/MTL availability; GLB is the canonical upstream asset."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,assembled_print_tooling,Meshy,3D Print Analyze Printability,019ed5b0-519d-7d88-8eae-4ab41d6d5f4d,SUCCEEDED,1,task,0,0.0200,0.0000,actual,"Meshy API pricing: Analyze Printability is free.","Original assembled GLB analysis returned healthy."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,assembled_print_tooling,Meshy,3D Print Repair Printability,019ed5b0-7f37-7741-80a6-a8fba10e9ac1,SUCCEEDED,1,task,10,0.0200,0.2000,actual_credits_estimated_usd,"Meshy API pricing: Repair Printability costs 10 credits. USD estimate uses Pro-plan public reference of $20 for 1000 credits.","Repair produced repaired GLB and thumbnail; follow-up analysis was healthy."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,assembled_print_tooling,Meshy,3D Print Analyze Printability,019ed5b0-b201-7dad-9cac-09c02903fab0,SUCCEEDED,1,task,0,0.0200,0.0000,actual,"Meshy API pricing: Analyze Printability is free.","Repaired GLB analysis returned healthy."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,assembled_print_tooling,Meshy,Remesh quad 100000 glb/stl/3mf,019ed5b0-dd6d-75f2-83aa-c1ffe9147620,SUCCEEDED,1,task,5,0.0200,0.1000,actual_credits_estimated_usd,"Meshy API pricing: Remesh costs 5 credits. USD estimate uses Pro-plan public reference of $20 for 1000 credits.","Remesh produced GLB, STL, 3MF, and thumbnail."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,assembled_print_tooling,Meshy,3D Print Analyze Printability,019ed5b1-94d5-7621-b225-800b75107b35,SUCCEEDED,1,task,0,0.0200,0.0000,actual,"Meshy API pricing: Analyze Printability is free.","Remeshed GLB analysis returned error."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,assembled_print_tooling,Meshy,3D Print Analyze Printability,019ed5b1-c072-7642-bd90-fd499e0e93a3,SUCCEEDED,1,task,0,0.0200,0.0000,actual,"Meshy API pricing: Analyze Printability is free.","Remeshed STL analysis returned error."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,total,Meshy,all Meshy provider tasks,,SUCCEEDED,1,job,51,0.0200,1.0200,actual_credits_estimated_usd,"36 Creative Lab credits + 15 print-tooling credits.","Does not include Google/Firebase infrastructure, local print-file generator CPU, storage egress, failed debug jobs, human review, slicer labor, packaging, or physical print cost."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,total,Google Vertex/Gemini,gemini-3-pro-image,,SUCCEEDED,1,proof call,0,,0.1401,estimated,"Approximate Gemini proof generation cost from public Gemini 3 Pro Image pricing.","Use Cloud Billing export for exact production accounting."
dc7f29eb-ef0e-4801-8353-d34e246b39d3,2026-06-17,total,All AI providers,successful figurine job through print tooling,,SUCCEEDED,1,job,51,,1.1601,mixed,"Meshy actual credits converted with public plan estimate plus approximate Gemini pricing.","Provider-only estimate; target selling price still needs print material, machine time, failures/retries, labor, payment fees, support, and margin."
